id,sort,dc_title,dc_description,dc_creator,GeoBlacklight:Information Page,iiif_service
32bf52ea-0480-4ba1-bb19-34b41cfae9c5,43,"Map of Bagley; Page 71: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/645/info.json
e6046d13-0489-4d37-9990-23fe3816b81e,44,"Map of Gonvick; Page 73: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/646/info.json
b497c7c3-593f-431d-84fb-bdfd618e60a0,45,"Map of Shevlin; Page 75: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/647/info.json
8c328640-4123-4ad2-a95c-1052e9ee7191,46,"Map of Clearbrook; Page 77: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/648/info.json
614d47f6-3dd8-4143-adec-282b2abc3684,47,"Location with Population of all Incorporated Towns in Minnesota; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/649/info.json
9fd5dba9-31b0-42f1-8dcc-1b8beb831fb7,48,"Map of Minnesota; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/650/info.json
c8c8a87b-2c32-47b2-ad0b-207c42dd2a79,49,"Location with Population of all Incorporated Towns in Minnesota; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/651/info.json
1604181c-9586-4035-8cbf-6536d0135f55,50,"Map of the United States; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/652/info.json
edd02b6a-1253-4fb0-a510-d274889bed44,51,"Minnesota Population Index, List of all Property Owners in Clearwater County; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/653/info.json
7777ccec-418f-4611-a6b1-66f20fdff3b5,52,"List of all Property Owners in Clearwater County; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/654/info.json
6d0712d6-69c3-4226-8c0e-8ff9f2c5af4b,53,"List of all Property Owners in Clearwater County; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/655/info.json
3b3c5b32-df1d-4dd5-b60d-f06e80276e3a,54,"List of all Property Owners in Clearwater County; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/656/info.json
a0bfc76a-4e7a-4480-8758-c6db93d89cf8,55,"Rear Cover; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/657/info.json
