id,sort,dc_title,dc_description,dc_creator,iiif_service
31b1160f-d24c-411e-bada-fe46e031947b,47,"Platted Property in Excelsior Township; Page 38: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1308/info.json
cc771242-1134-40f5-8ce0-30926213e7d1,48,"Platted Property in Excelsior Township; Page 39: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1309/info.json
c213a70a-2a84-4d00-9265-241c8c7ec4fe,49,"Platted Property in Excelsior Township; Page 40: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1310/info.json
9eb122c6-aca7-4d51-a48f-9044ace49d37,50,"Plat of Big Island; Page 41: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1311/info.json
e0112579-ab85-4139-ab92-40fa8ac60b0f,51,"Plat of Big Island; Page 42: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1312/info.json
b5ec895f-0002-4287-8762-7ed9fffaf993,52,"Village of Golden Valley: Township 118 N; Range 21 W of the 5th PM. / Township 29 N; Range 24 W of the 4th PM.; Page 43: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1313/info.json
4bc811c8-dd1c-4e2e-9fdd-5766e318d7fa,53,"Village of Golden Valley: Township 118 N; Range 21 W of the 5th PM. / Township 29 N; Range 24 W of the 4th PM.; Page 44: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1314/info.json
445fd1a3-7111-417f-b86a-043d748c9feb,54,"Plat of Greenwood; Page 45: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1315/info.json
cdda97ec-f06d-4491-bce9-5547ad3c54eb,55,"Village of Hanover; Page 46: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1316/info.json
367b88dd-8ae2-4a00-abd6-b1ffa980765a,56,"Plat of Hassan: Township 120 N; Range 23 & 24 W of the 5th PM.; Page 47: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1317/info.json
fbd9b471-a704-4c64-b853-009acca542ea,57,"Plat of Independence: Township 118 N; Range 24 W of the 5th PM.; Page 48: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1318/info.json
915db85a-bebb-4176-9ab0-0e0f9fb8a8e8,58,"Village of Long Lake; Page 49: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1319/info.json
e3b60f0f-09a0-43f8-adc7-37d461736a03,59,"Village of Loretto; Page 50: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1320/info.json
5da36af0-36e3-4feb-be78-0311b6cebc95,60,"Plat of Maple Grove: Township 119 N; Range 22 W of the 5th PM.; Page 51: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1321/info.json
41dd5e7b-e56a-442d-9173-21f9b7f2c930,61,"Plat of Medina & Village of Maple Plain: Township 118 N; Range 23 W of the 5th PM.; Page 52: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1322/info.json
ee4cca2f-0b44-43ba-8284-4248c68bebd6,62,"Minnetonka: Township 117 N; Range 21 & 22 W of the 5th PM.; Page 53: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1323/info.json
d2fafcfb-40c4-4904-8e97-941f72d95098,63,"Minnetonka: Township 117 N; Range 21 & 22 W of the 5th PM.; Page 54: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1324/info.json
fe907604-4eaf-4a21-88e2-b1d37b6d3a41,64,"Platted Property in Minnetonka Township; Page 55: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1325/info.json
c100a60b-9aaf-4934-a5c8-ff1803d943de,65,"Platted Property in Minnetonka Township; Page 56: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1326/info.json
