id,sort,dc_title,dc_description,dc_creator,iiif_service
252b7f79-a378-470c-b254-8e556e00e865,36,"36 Reference Directory of Nobles County; Page 80: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2270/info.json
ab2c4737-2b7c-4cac-9dcb-60e37a02d00b,37,"37 Advertising Section; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2271/info.json
8236603e-3c54-44e9-bbf9-fc2d4e529326,38,"38 Advertising Section; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2272/info.json
faf69ddf-9b7a-469b-b1d6-1cf61044e09d,39,"39 Advertising Section; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2273/info.json
333ae0ba-e61d-42ed-a3cd-31eb3dd0211b,40,"40 Advertising Section; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2274/info.json
3f60e727-de89-4d14-8ac1-81e61a5a341b,41,"41 Advertising Section; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2275/info.json
d84ddf7c-ea0d-49b6-86cb-51c1b89968e0,42,"42 Illustrations; Page 87: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2276/info.json
157f89c5-78ef-40a1-9853-39c451872f8e,43,"43 Illustrations; Page 89: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2277/info.json
455d0116-20e1-47dc-8799-422916432d5a,44,"Illustrations; Page 91: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2278/info.json
83722f73-fa83-4f74-8413-cebc879ab5f4,45,"Illustrations; Page 93: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2279/info.json
2495c072-b213-4615-860b-d933ea29d6a8,46,"Illustrations; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2280/info.json
76cf2ca6-1967-4185-8de4-2c552ffc3258,47,"Analysis of the System of United States Land Surveys; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2281/info.json
b04fa6fe-c226-470e-8a06-b3bacbdf2fc9,48,"Public Land Survey; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2282/info.json
33159f68-1e4c-468d-8178-d880a9018530,49,"Digest of the System of Civil Government; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2283/info.json
