id,a,dc_title,dc_description,dc_creator,iiif_service
7629ef3c-7bd3-4e96-a51e-ae83de6fd881,36,"Blank Page; Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2401/info.json
dc7c15be-e7c1-4b74-8c05-bb1b715dcf47,37,"Location with Population of all Incorporated Towns in Minnesota; Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2402/info.json
a5b41c19-d3e1-481d-b511-30a9379239f8,38,"Map of Minnesota - North; Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2403/info.json
4301cef6-e6fe-4218-b9e7-0d8c88f532a8,39,"Map of Minnesota - South; Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2404/info.json
9beb0637-e8a0-4e46-86b6-1c83c20c042d,40,"Location with Population of all Incorporated Towns in Minnesota; Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2405/info.json
4341a860-c5a3-40d1-be94-b576151c737c,41,"Index of all the Chief Towns and Cities of Over 2,000 in the United States; Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2406/info.json
e0311798-e45c-42c6-9202-ce34e1657b7d,42,"Map of the United States; Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2407/info.json
8e031f36-4893-448a-8c7c-d7ae97862177,43,"Index of all the Chief Towns and Cities of Over 2,000 in the United States; Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2408/info.json
27106a13-bf10-4ca4-93e7-7a1145281616,44,"Panama Canal; Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2409/info.json
441d4260-998b-46f2-82c8-389e92c3a98c,45,"Map of the World; Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2410/info.json
b344e360-0ed5-417a-8ee7-6a954fa6cdcc,46,"Principal Rulers of the World; Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",,Webb Publishing Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2411/info.json
